"NC Item Register",3/22/10,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,
,,,,,,,
,,,,,,,
"Item Register: Source Code: ITEMJNL",,,,,,,
"Item Ledger Entry: Posting Date: 07/01/09..02/28/10, Entry Type: Negative Adjmt.",,,,,,,
,,,,,,,
"Journal Batch Name","Item No.","Description","Posting Date","Entry Type","Document No.","Quantity","Total Weight"
"WASTE","BR09001","BREAD/BAKED GOODS DRY - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-10,-10
"WASTE","FP09001","FROZEN PRODUCT ASST. - WEIGH",7/31/09,"Negative Adjmt.","WASTE",-7,-7
"WASTE","EN09005","NUTRISYSTEM ASST. ENTREES - WEIGH",7/31/09,"Negative Adjmt.","RAL JUL",-1,-1
"WASTE","RF09002","REFRIGERATED PRODUCT ASST. COMP. - WEIGH",8/5/09,"Negative Adjmt.","REC.",-1925,-1925
"WASTE","SK09036","ACT II POPCORN ASST. - WEIGH",8/5/09,"Negative Adjmt.","WASTE",-998,-998
"WASTE","SK09076","KEEBLER SODA CRACKERS 12/28 OZ",8/5/09,"Negative Adjmt.","WASTE",-27,-891
"WASTE","DY09001","DAIRY ASSORTED - WEIGH",8/7/09,"Negative Adjmt.","WASTE",-5592,-5592
"WASTE","PR09005","SWEET POTATOES - WEIGH",8/7/09,"Negative Adjmt.","WASTE",-3741,-3741
"WASTE","PR09006","WHITE POTATOES - WEIGH",8/7/09,"Negative Adjmt.","WASTE",-3332,-3332
"WASTE","PF09001","PREPARED SALADS - WEIGH",8/7/09,"Negative Adjmt.","WASTE",-2718,-2718
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/7/09,"Negative Adjmt.","WASTE",-80,-2400
"WASTE","PR09005","SWEET POTATOES - WEIGH",8/7/09,"Negative Adjmt.","WASTE",-708,-708
"WASTE","SK09003","NABISCO ASST. SNACKS - WEIGH",8/7/09,"Negative Adjmt.","TRANSFER",-425,-425
"WASTE","JU09010","LAURA LYNN ORANGE JUICE 4/128 OZ",8/7/09,"Negative Adjmt.","EXP",-5,-180
"WASTE","SK09007","LANCE ASSORTED SNACKS - WEIGH",8/7/09,"Negative Adjmt.","TRANSFER",-25,-25
"WASTE","RF09002","REFRIGERATED PRODUCT ASST. COMP. - WEIGH",8/12/09,"Negative Adjmt.","REC",-1955,-1955
"WASTE","PR09003","LEAFY GREEN & BAGGED SALAD - WEIGH",8/12/09,"Negative Adjmt.","REC",-890,-890
"WASTE","SA09001","SALVAGE - WEIGH",8/17/09,"Negative Adjmt.","WASTE",-274,-274
"WASTE","SA09001","SALVAGE - WEIGH",8/17/09,"Negative Adjmt.","WASTE",-264,-264
"WASTE","SA09001","SALVAGE - WEIGH",8/17/09,"Negative Adjmt.","WASTE",-213,-213
"WASTE","BR09001","BREAD/BAKED GOODS DRY - WEIGH",8/17/09,"Negative Adjmt.","WASTE",-120,-120
"WASTE","BV09001","SODAS ASSORTED - WEIGH",8/17/09,"Negative Adjmt.","WASTE",-101,-101
"WASTE","FD09001","FOOD DRIVE - WEIGH",8/17/09,"Negative Adjmt.","WASTE",-51,-51
"WASTE","SA09001","SALVAGE - WEIGH",8/17/09,"Negative Adjmt.","WASTE",-50,-50
"WASTE","FM09001","CHICKEN PRODUCT ASST. - WEIGH",8/17/09,"Negative Adjmt.","WASTE",-22,-22
"WASTE","SK09002","KELLOGG ASST. PRODUCT- WEIGH",8/17/09,"Negative Adjmt.","WASTE",-9,-9
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/21/09,"Negative Adjmt.","WASTE",-107,-3210
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/21/09,"Negative Adjmt.","WASTE",-102,-3060
"WASTE","PF09001","PREPARED SALADS - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-1276,-1276
"WASTE","PR09005","SWEET POTATOES - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-1088,-1088
"WASTE","PF09001","PREPARED SALADS - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-1022,-1022
"WASTE","PF09001","PREPARED SALADS - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-850,-850
"WASTE","PR09002","VEGETABLES - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-600,-600
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-528,-528
"WASTE","PR09004","MELONS - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-302,-302
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-158,-158
"WASTE","PA09002","RICE - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-127,-127
"WASTE","BV09001","SODAS ASSORTED - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-107,-107
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-84,-84
"WASTE","JU09006","JUICE ASSORTED - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-48,-48
"WASTE","PU08006","BEANS & FRANKS 24/7.5 OZ",8/21/09,"Negative Adjmt.","WASTE",-2,-28
"WASTE","SD09003","BOOST CHOCOLATE KID'S ESSENTIALS 24/8.25 OZ",8/21/09,"Negative Adjmt.","WASTE",-2,-24
"WASTE","FM09001","CHICKEN PRODUCT ASST. - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-21,-21
"WASTE","SK09002","KELLOGG ASST. PRODUCT- WEIGH",8/21/09,"Negative Adjmt.","WASTE",-14,-14
"WASTE","SD09003","BOOST CHOCOLATE KID'S ESSENTIALS 24/8.25 OZ",8/21/09,"Negative Adjmt.","WASTE",-1,-12
"WASTE","HC08022","PROCTOR & GAMBLE ASST. HYGIENE - WEIGH",8/21/09,"Negative Adjmt.","WASTE",-8,-8
"WASTE","SK09088","SUNSHINE CHEEZ-IT SNACK CRACKERS 12/9 OZ",8/21/09,"Negative Adjmt.","WASTE",-1,-8
"WASTE","SK09002","KELLOGG ASST. PRODUCT- WEIGH",8/21/09,"Negative Adjmt.","WASTE",-7,-7
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/25/09,"Negative Adjmt.","EXP",-361,-10830
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/25/09,"Negative Adjmt.","EXP",-94,-2820
"WASTE","JU09024","TROPICANA JUICE 12/32 OZ",8/25/09,"Negative Adjmt.","EXP",-84,-2268
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/25/09,"Negative Adjmt.","EXP",-63,-1890
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/25/09,"Negative Adjmt.","EXP",-50,-1500
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/25/09,"Negative Adjmt.","EXP",-36,-1080
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/25/09,"Negative Adjmt.","EXP",-33,-990
"WASTE","PR09001","FRESH FRUITS - WEIGH",8/25/09,"Negative Adjmt.","REC",-900,-900
"WASTE","JU09009","TROPICANA NO PULP ORANGE JUICE 6/2.63 LTRS",8/25/09,"Negative Adjmt.","EXP",-18,-702
"WASTE","SK09036","ACT II POPCORN ASST. - WEIGH",8/25/09,"Negative Adjmt.","EXP",-305,-305
"WASTE","VC09001","BRUCE FOOD ASST. VEGETABLES - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-10507,-10507
"WASTE","VC09001","BRUCE FOOD ASST. VEGETABLES - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-5808,-5808
"WASTE","MX09003","PANCAKE MIX 6/5 LB *ON-SITE-ONLY*",8/27/09,"Negative Adjmt.","WASTE",-78,-2340
"WASTE","PR09004","MELONS - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-200,-200
"WASTE","EG09001","EGGS GRADE B SMALL - DOZEN",8/27/09,"Negative Adjmt.","WASTE",-97,-194
"WASTE","FD09001","FOOD DRIVE - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-134,-134
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-88,-88
"WASTE","PR09002","VEGETABLES - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-82,-82
"WASTE","NF09039","Wal-Mart Non Food Products Weigh",8/27/09,"Negative Adjmt.","WASTE",-70,-70
"WASTE","RM09002","RETAIL READY TO EAT ASST. - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-56,-56
"WASTE","PF09001","PREPARED SALADS - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-35,-35
"WASTE","EN09005","NUTRISYSTEM ASST. ENTREES - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-15,-15
"WASTE","BR09001","BREAD/BAKED GOODS DRY - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-10,-10
"WASTE","SK09003","NABISCO ASST. SNACKS - WEIGH",8/27/09,"Negative Adjmt.","WASTE",-6,-6
"WASTE","PR09004","MELONS - WEIGH",8/28/09,"Negative Adjmt.","BAD",-1837,-1837
"WASTE","SA09001","SALVAGE - WEIGH",8/28/09,"Negative Adjmt.","WASTE",-1055,-1055
"WASTE","PF09001","PREPARED SALADS - WEIGH",8/28/09,"Negative Adjmt.","BAD",-913,-913
"WASTE","NF09039","Wal-Mart Non Food Products Weigh",8/28/09,"Negative Adjmt.","DAMAGED",-254,-254
"WASTE","SA09001","SALVAGE - WEIGH",8/28/09,"Negative Adjmt.","DAMAGED",-208,-208
"WASTE","SA09001","SALVAGE - WEIGH",8/28/09,"Negative Adjmt.","DAMAGED",-110,-110
"WASTE","PF09001","PREPARED SALADS - WEIGH",8/28/09,"Negative Adjmt.","BAD",-80,-80
"WASTE","CE09012","QUAKER ASST. CEREAL - WEIGH",8/28/09,"Negative Adjmt.","WASTE",-54,-54
"WASTE","BR09008","KROGER GRAHAM PIE CRUSTS 9"" 16/6 OZ",8/28/09,"Negative Adjmt.","WASTE",-3,-18
"WASTE","DY09002","YOGURT ASSORTED - WEIGH",8/28/09,"Negative Adjmt.","WASTE",-14,-14
"WASTE","PR09002","VEGETABLES - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-26100,-26100
"WASTE","PR09004","MELONS - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-13080,-13080
"WASTE","PR09002","VEGETABLES - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-11680,-11680
"WASTE","PF09001","PREPARED SALADS - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-11225,-11225
"WASTE","PR09005","SWEET POTATOES - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-8510,-8510
"WASTE","VC09001","BRUCE FOOD ASST. VEGETABLES - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-4725,-4725
"WASTE","SA09001","SALVAGE - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-4440,-4440
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-3420,-3420
"WASTE","PR09005","SWEET POTATOES - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-3215,-3215
"WASTE","FP09002","FROZEN PRODUCT ASST. COMP. - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-3032,-3032
"WASTE","PF09001","PREPARED SALADS - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-2891,-2891
"WASTE","NF09039","Wal-Mart Non Food Products Weigh",8/31/09,"Negative Adjmt.","AUG R",-2545,-2545
"WASTE","PR09004","MELONS - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-2086,-2086
"WASTE","EG09001","EGGS GRADE B SMALL - DOZEN",8/31/09,"Negative Adjmt.","AUG R",-665,-1330
"WASTE","PR09006","WHITE POTATOES - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-1250,-1250
"WASTE","BR09002","TORTILLAS - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-629,-629
"WASTE","FP09001","FROZEN PRODUCT ASST. - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-625,-625
"WASTE","PR09003","LEAFY GREEN & BAGGED SALAD - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-230,-230
"WASTE","FD09001","FOOD DRIVE - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-210,-210
"WASTE","BR09001","BREAD/BAKED GOODS DRY - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-95,-95
"WASTE","TF371","MIXED FRUIT 24/#300",8/31/09,"Negative Adjmt.","TEFAP",-3,-78
"WASTE","PR09004","MELONS - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-58,-58
"WASTE","TF375","PEARS 24/#300",8/31/09,"Negative Adjmt.","TEFAP",-2,-56
"WASTE","TF377","TOMATO SAUCE 24/#300",8/31/09,"Negative Adjmt.","TEFAP",-2,-52
"WASTE","CD09028","HEINZ TOMATO PASTE 6/#10 POUCHES",8/31/09,"Negative Adjmt.","AUG R",-1,-40
"WASTE","MX09001","BAKING MIX ASSORTED - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-29,-29
"WASTE","TF367","BLACK EYED PEAS 24/#300",8/31/09,"Negative Adjmt.","TEFAP",-1,-28
"WASTE","TF373","PEACHES 24/#300",8/31/09,"Negative Adjmt.","TEFAP",-1,-26
"WASTE","TF368","CARROTS 24/#300",8/31/09,"Negative Adjmt.","TEFAP",-1,-26
"WASTE","TF378","TUNA 24/12 OZ",8/31/09,"Negative Adjmt.","TEFAP",-1,-21
"WASTE","CD09025","BOSTON MARKET BEEF GRAVY 6/12 OZ",8/31/09,"Negative Adjmt.","AUG R",-1,-7
"WASTE","MX09001","BAKING MIX ASSORTED - WEIGH",8/31/09,"Negative Adjmt.","AUG R",-7,-7
"WASTE","PR09006","WHITE POTATOES - WEIGH",9/3/09,"Negative Adjmt.","WASTE",-1718,-1718
"WASTE","PF09001","PREPARED SALADS - WEIGH",9/3/09,"Negative Adjmt.","WASTE",-1690,-1690
"WASTE","PR09005","SWEET POTATOES - WEIGH",9/3/09,"Negative Adjmt.","WASTE",-438,-438
"WASTE","SA09001","SALVAGE - WEIGH",9/3/09,"Negative Adjmt.","WASTE",-305,-305
"WASTE","PR09004","MELONS - WEIGH",9/3/09,"Negative Adjmt.","WASTE",-22,-22
"WASTE","SK09088","SUNSHINE CHEEZ-IT SNACK CRACKERS 12/9 OZ",9/3/09,"Negative Adjmt.","WASTE",-2,-16
"WASTE","SK09064","CURVES CHEWY GRANOLA BARS STRAWBERRY 10/5.3 OZ",9/3/09,"Negative Adjmt.","WASTE",-3,-15
"WASTE","CL09030","WINDEX SANITARY MULTI SURFACE WIPES 9/28 CT.",9/3/09,"Negative Adjmt.","WASTE",-1,-6
"WASTE","PA09001","PASTA BAGGED - WEIGH",9/10/09,"Negative Adjmt.","WASTE",-270,-270
"WASTE","BR09009","SOUTHERN HOME GRAHAM PIE CRUST 12/9 OZ",9/10/09,"Negative Adjmt.","WASTE",-3,-21
"WASTE","SA09001","SALVAGE - WEIGH",9/18/09,"Negative Adjmt.","WASTE",-64,-64
"WASTE","SA09001","SALVAGE - WEIGH",9/18/09,"Negative Adjmt.","WASTE",-36,-36
"WASTE","RM09001","RETAIL MEAT FROZEN - WEIGH",9/18/09,"Negative Adjmt.","WASTE",-4,-4
"WASTE","PR09002","VEGETABLES - WEIGH",9/28/09,"Negative Adjmt.","WASTE",-2224,-2224
"WASTE","PF09001","PREPARED SALADS - WEIGH",9/28/09,"Negative Adjmt.","WASTE",-1574,-1574
"WASTE","VC09001","BRUCE FOOD ASST. VEGETABLES - WEIGH",9/28/09,"Negative Adjmt.","WASTE",-237,-237
"WASTE","SA09001","SALVAGE - WEIGH",9/28/09,"Negative Adjmt.","WASTE",-204,-204
"WASTE","SK09002","KELLOGG ASST. PRODUCT- WEIGH",9/28/09,"Negative Adjmt.","WASTE",-185,-185
"WASTE","SA09001","SALVAGE - WEIGH",9/28/09,"Negative Adjmt.","WASTE",-89,-89
"WASTE","VC09001","BRUCE FOOD ASST. VEGETABLES - WEIGH",9/28/09,"Negative Adjmt.","WASTE",-32,-32
"WASTE","NF08017","GLADE SCENTED OIL CANDLE TRIO STARTER",9/28/09,"Negative Adjmt.","WASTE",-1,-9
"WASTE","TF371","MIXED FRUIT 24/#300",9/29/09,"Negative Adjmt.","TEFAP",-10,-260
"WASTE","TF373","PEACHES 24/#300",9/29/09,"Negative Adjmt.","TEFAP",-5,-130
"WASTE","TF377","TOMATO SAUCE 24/#300",9/29/09,"Negative Adjmt.","TEFAP",-5,-130
"WASTE","TF378","TUNA 24/12 OZ",9/29/09,"Negative Adjmt.","TEFAP",-4,-84
"WASTE","TF376","RED KIDNEY BEANS 24/#300",9/29/09,"Negative Adjmt.","TEFAP",-3,-81
"WASTE","TF379","VEGETABLE MIX 24/#300",9/29/09,"Negative Adjmt.","TEFAP",-2,-54
"WASTE","TF370","MILK UHT 12/32 OZ",9/29/09,"Negative Adjmt.","TEFAP",-2,-50
"WASTE","TF372","ORANGE JUICE 12/46 OZ",9/29/09,"Negative Adjmt.","TEFAP",-1,-43
"WASTE","TF375","PEARS 24/#300",9/29/09,"Negative Adjmt.","TEFAP",-1,-28
"WASTE","TF367","BLACK EYED PEAS 24/#300",9/29/09,"Negative Adjmt.","TEFAP",-1,-28
"WASTE","SA09001","SALVAGE - WEIGH",9/29/09,"Negative Adjmt.","WASTE",-27,-27
"WASTE","TF368","CARROTS 24/#300",9/29/09,"Negative Adjmt.","TEFAP",-1,-26
