"Daily Invoicing Report",3/12/10,,,,,,,
"Food Bank of Central & Eastern North Carolina",,,,,,,,
,,,,,,,,
,,,,,,,,
"Posting Date: 07/01/09..02/28/10, Location Code: MAIN",,,,,,,,
"Invoice Number","Invoice Date","Bill-to Agency No.","Name","Agency County","Shipment Method Code","Shipping Agent Code","Gross Weight","Amount Including Tax"
"G09-01488-1",7/1/09,1577,"Project Anna, Inc.","PITT","I-SHP","PKUP",1026,171.64
"S09-01443-1",7/1/09,1128,"Rockingham Spanish SDA Church","RICHMOND","I-PKUP","PKUP",1149,12.6
"D09-02147-1",7/1/09,1357,"Peoples Christian Assembly","VANCE","I-SHP","PKUP",1202,189.26
"W09-00990-1",7/1/09,"WL390","Pleasant Grove","BRUNSWICK","I-SHP","PKUP",1313,104.72
"S09-01433-1",7/1/09,411,"New Zion AME Zion Church","MOORE","I-SHP","PKUP",1345,107.16
"G09-01480-1",7/1/09,248,"Ayden Christian Care Center","PITT","I-SHP","PKUP",1375,131.58
"G09-01490-1",7/1/09,1355,"KC - Scotland Neck","HALIFAX","I-SHP","PKUP",1378,468.15
"D09-02161-1",7/1/09,1616,"Recovery Center of Durham","DURHAM","I-SHP","PKUP",1405,113.38
"W09-00992-1",7/1/09,"WL294","Trinity Tabernacle Full","BRUNSWICK","I-SHP","PKUP",1453,245.38
"G09-01478-1",7/1/09,1610,"KC - Heartworks Children's","PAMLICO","I-MFP","MFP",1461,892.55
"D09-02152-1",7/1/09,1642,"RAM Organization","DURHAM","I-SHP","PKUP",1680,139.64
"D09-02158-1",7/1/09,1275,"Asbury Temple United Methodist","DURHAM","I-SHP","PKUP",1773,277.2
"W09-00991-1",7/1/09,"WL356","Love of Christ Ministries","BRUNSWICK","I-SHP","PKUP",2102,109.48
"S09-01440-1",7/1/09,1427,"Victory Deliverance Church of","RICHMOND","I-SHP","PKUP",2125,72.9
"G09-01493-1",7/1/09,1577,"Project Anna, Inc.","PITT","I-SHP","PKUP",2270,0
"D09-02148-1",7/1/09,838,"Word of Life Christian Center","PERSON","I-SHP","PKUP",3403,0
"D09-02160-1",7/1/09,"DI052","Bright Sun","ORANGE","I-DEL","BRN",4262,0
"G09-01497-1",7/1/09,945,"Refuge One Way Church","NASH","I-MFP","MFP",8399,0
"G09-01477-1",7/1/09,1569,"St. Peter the Fisherman","PAMLICO","I-MFP","MFP",8432,0
"G09-01476-1",7/1/09,900,"Youth Vision","CRAVEN","I-MFP","MFP",8708,0
"R09-05140-1",7/2/09,"DI004","Food Bank of NC Direct Distr","WAKE","I-PKUP","PKUP",30,0
"R09-04200-1",7/2/09,192,"Gethsemane 7th Day","WAKE","I-SHP","PKUP",42,7.56
"S09-01448-1",7/2/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",54,8.46
"S09-01458-1",7/2/09,1251,"KC - Boys & Girls Club of","MOORE","I-SHP","PKUP",58,10.44
"S09-01447-1",7/2/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",58,9.36
"W09-01005-1",7/2/09,"WL334","SEARISE","NEWHANOVER","I-SHP","PKUP",85,15.3
"G09-01517-1",7/2/09,113,"Holy Mission Church of God","EDGECOMBE","I-SHP","PKUP",88,15.84
"W09-01000-1",7/2/09,"WL243","St Peter The Fisherman Church","NEWHANOVER","I-SHP","PKUP",88,0
"R09-04213-1",7/2/09,1112,"Transplant Recipient","WAKE","I-SHP","PKUP",123,5.04
"G09-01504-1",7/2/09,1385,"St. Paul's Episcopal Church","PITT","I-SHP","PKUP",138,0
"G09-01506-1",7/2/09,1223,"Bibleway Church of God in","LENOIR","I-SHP","PKUP",140,25.2
"S09-01451-1",7/2/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",141,10.44
"S09-01450-1",7/2/09,1237,"The Arc of Moore, Inc.","MOORE","I-SHP","PKUP",155,25.74
"W09-01002-1",7/2/09,"WL336","Ashley Center","NEWHANOVER","I-SHP","PKUP",165,29.7
"W09-00997-1",7/2/09,"WL371","Meals on Wheels","NEWHANOVER","I-SHP","PKUP",165,0
"R09-04190-1",7/2/09,533,"Faith Baptist Church/","FRANKLIN","I-SHP","PKUP",172,30.96
"D09-02164-1",7/2/09,765,"Mt. Zion Christian Church/","VANCE","I-SHP","PKUP",173,29.7
"R09-04182-1",7/2/09,137,"Tri-Area Ministry","WAKE","I-SHP","PKUP",179,24.12
"D09-02168-1",7/2/09,75,"Inter-Faith Council/","ORANGE","I-SHP","PKUP",202,36.36
"R09-04183-1",7/2/09,1508,"Community of Hope Ministries","WAKE","I-SHP","PKUP",215,9.36
"R09-04189-1",7/2/09,632,"Resources For Seniors","WAKE","I-SHP","PKUP",223,31.9
"R09-04186-1",7/2/09,686,"Immanuel Temple SDA church","DURHAM","I-SHP","PKUP",230,14.04
"S09-01455-1",7/2/09,1378,"Pinetree Community Services","RICHMOND","I-SHP","PKUP",231,25.98
"D09-02169-1",7/2/09,1324,"Freedom House/ Durham Houses","DURHAM","I-SHP","PKUP",248,21.6
"S09-01452-1",7/2/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",254,21.06
"G09-01505-1",7/2/09,1333,"Operation Sunshine, Inc","PITT","I-SHP","PKUP",278,50.04
"R09-04204-1",7/2/09,1584,"Glad Tiding Church, Inc.","HARNETT","I-SHP","PKUP",296,31.72
"R09-04210-1",7/2/09,1361,"Reaching Your Goals Inc.","WAKE","I-SHP","PKUP",299,29.82
"R09-04215-1",7/2/09,1479,"It's Doable","WAKE","I-SHP","PKUP",303,46.23
"S09-01445-1",7/2/09,668,"Outreach for Jesus","RICHMOND","I-PKUP","PKUP",340,48.4
"R09-04179-1",7/2/09,462,"Flynn Home Of Goldsboro","WAYNE","I-SHP","PKUP",341,30.68
"R09-04184-1",7/2/09,467,"Christian Fellowship Home-","WAKE","I-SHP","PKUP",350,40.36
"W09-01003-1",7/2/09,"WL336","Ashley Center","NEWHANOVER","I-SHP","PKUP",354,63.72
"D09-02166-1",7/2/09,212,"Orange Congregations Mission","ORANGE","I-SHP","PKUP",378,52.92
"S09-01449-1",7/2/09,72,"RHA Health Services, Inc. -","MOORE","I-SHP","PKUP",384,45.18
"R09-04188-1",7/2/09,1045,"Word of God Fellowship","WAKE","I-SHP","PKUP",398,50.76
"R09-04221-1",7/2/09,1473,"Alpha & Omega","HARNETT","I-SHP","PKUP",400,72
"R09-04223-1",7/2/09,1622,"Bread of Life Ministries","LEE","I-SHP","PKUP",446,56.44
"R09-04219-1",7/2/09,585,"Shiloh Christian Day Care","JOHNSTON","I-SHP","PKUP",455,33.48
"R09-04193-1",7/2/09,1413,"Mary E. Wilson Foundation","WAKE","I-SHP","PKUP",482,82.44
"S09-01457-1",7/2/09,280,"Sandhills - Moore Coalition","MOORE","I-SHP","PKUP",486,44.42
"R09-04197-1",7/2/09,1260,"Zina Christian Center","WAKE","I-SHP","PKUP",503,78.2
"W09-01006-1",7/2/09,"WL420","KC - Community Boys & Girls","BRUNSWICK","I-SHP","PKUP",509,167.16
"R09-04196-1",7/2/09,505,"Church Of God Of Prophecy","WAKE","I-SHP","PKUP",538,57.6
"S09-01454-1",7/2/09,1378,"Pinetree Community Services","MOORE","I-SHP","PKUP",539,25.2
"R09-04185-1",7/2/09,1582,"Glory Cloud & Fire Ministries","FRANKLIN","I-SHP","PKUP",542,20.42
"W09-01001-1",7/2/09,"WL426","Cherry Grove Baptist Church","COLUMBUS","I-SHP","PKUP",564,135.19
"R09-04178-1",7/2/09,112,"Salvation Army-Raleigh","WAKE","I-SHP","PKUP",604,98.28
"G09-01502-1",7/2/09,"DI011","Direct Distr. -- Pitt County","PITT","I-PKUP","PKUP",616,0
"R09-04208-1",7/2/09,607,"Islamic Association of Raleigh","WAKE","I-SHP","PKUP",622,90.36
"D09-02197-1",7/2/09,1515,"The River","DURHAM","I-SHP","PKUP",643,64.98
"R09-04222-1",7/2/09,1342,"White Oak Foundation","WAKE","I-SHP","PKUP",650,62.92
"D09-02165-1",7/2/09,436,"Christian Assembly Emergency","DURHAM","I-SHP","PKUP",654,100.44
"S09-01456-1",7/2/09,1570,"St. Paul Lutheran- Hamlet","RICHMOND","I-SHP","PKUP",661,104.04
"R09-04201-1",7/2/09,81,"Longview United Methodist","WAKE","I-SHP","PKUP",675,43.3
"W09-00998-1",7/2/09,"WL289","Wrightsboro United Methodist","NEWHANOVER","I-SHP","PKUP",675,126.71
"G09-01507-1",7/2/09,1374,"Spencer's Place Group Home","CRAVEN","I-SHP","PKUP",676,106.98
"R09-04180-1",7/2/09,1086,"The Fuquay-Varina Emergency","WAKE","I-SHP","PKUP",683,119.18
"W09-01004-1",7/2/09,"WL281","South Brunswick Inter-Church","BRUNSWICK","I-SHP","PKUP",716,122.66
"R09-04177-1",7/2/09,1635,"Cathedral of Jesus Church of","WAKE","I-SHP","PKUP",788,72.34
"R09-04207-1",7/2/09,1181,"Praise Worship Tabernacle","WAKE","I-SHP","PKUP",793,46.18
"R09-04192-1",7/2/09,133,"Urban Ministries of Wake","WAKE","I-SHP","PKUP",817,131.76
"R09-04206-1",7/2/09,424,"Bread Basket/Sanford Soup","LEE","I-SHP","PKUP",823,88.64
"D09-02167-1",7/2/09,1246,"Rise and Shine Ministries","DURHAM","I-SHP","PKUP",837,142.8
"R09-04202-1",7/2/09,1156,"Child Evangelism Fellowship","WAKE","I-SHP","PKUP",848,66.22
"R09-04203-1",7/2/09,1655,"Iglesia De Dios Cristo","JOHNSTON","I-SHP","PKUP",882,72.88
"R09-04175-1",7/2/09,1176,"Edgerton Memorial UMC","JOHNSTON","I-SHP","PKUP",893,116.4
"R09-04217-1",7/2/09,1234,"Progressive Teamwork Outreach","WAKE","I-SHP","PKUP",906,108
"W09-00999-1",7/2/09,"WL332","Southport Oak Island Interchur","BRUNSWICK","I-SHP","PKUP",912,134.46
"R09-04194-1",7/2/09,99,"Raleigh Rescue Mission","WAKE","I-SHP","PKUP",919,73.18
"G09-01518-1",7/2/09,254,"Zion Chapel Senior Food Serv","PITT","I-SHP","PKUP",981,272.71
"R09-04205-1",7/2/09,853,"Trinity United Faith Center","WAKE","I-SHP","PKUP",1012,1.08
"R09-04224-1",7/2/09,511,"Greater Pentecostal F.D.","WAKE","I-SHP","PKUP",1039,95.4
"R09-04176-1",7/2/09,1058,"Mission Raleigh of Mt. Vernon","WAKE","I-SHP","PKUP",1055,157.54
"R09-04209-1",7/2/09,1023,"Universal Church of Prayer","WAKE","I-SHP","PKUP",1085,49.68
"S09-01446-1",7/2/09,1267,"Highfalls United Methodist","MOORE","I-PKUP","PKUP",1143,93.52
"R09-04218-1",7/2/09,1473,"Alpha & Omega","HARNETT","I-SHP","PKUP",1153,51.88
"R09-04212-1",7/2/09,1472,"Emmanuel Hispanic Pentecostal","WAKE","I-SHP","PKUP",1305,159.38
"G09-01503-1",7/2/09,1220,"Greene County Interfaith","GREENE","I-SHP","PKUP",1355,165.78
"W09-00996-1",7/2/09,"WL114","Mother Hubbard's Cupboard","NEWHANOVER","I-SHP","PKUP",1356,318.06
"R09-04191-1",7/2/09,1087,"New Life Deliverance Ministry","JOHNSTON","I-SHP","PKUP",1357,52.02
"S09-01444-1",7/2/09,134,"Page United Methodist Church","MOORE","I-SHP","PKUP",1676,103.66
"R09-04220-1",7/2/09,463,"Lifeline Outreach, INC.","VANCE","I-SHP","PKUP",1705,184.66
"R09-04216-1",7/2/09,1617,"Benson Area Ministerial","JOHNSTON","I-SHP","PKUP",1793,181.32
"S09-01453-1",7/2/09,1405,"Grace Community Center -","MOORE","I-SHP","PKUP",1885,23.76
"R09-04199-1",7/2/09,192,"Gethsemane 7th Day","WAKE","I-SHP","PKUP",2372,116.1
"D09-02198-1",7/2/09,"DHC002","Durham House/Moreene Road","DURHAM","I-DEL","BRN",2507,0
"S09-01461-1",7/2/09,1158,"Avery Chapel FWB Church","HOKE","I-DEL","BRN",2534,46.98
"D09-02196-1",7/2/09,1307,"Young Memorial United Holy","VANCE","I-DEL","BRN",2614,0
"S09-01459-1",7/2/09,1210,"Carthage United Methodist Ch.","MOORE","I-DEL","BRN",4673,0
"S09-01460-1",7/2/09,470,"Montgomery Churches in Action/","MONTGOMERY","I-DEL","BRN",5338,129.78
"G09-01508-1",7/2/09,732,"The Anointed Ones Church","PITT","I-MFP","MFP",7040,0
"G09-01519-1",7/2/09,850,"Alpha and Omega Church","LENOIR","I-MFP","MFP",7164,0
"G09-01520-1",7/2/09,1084,"Richlands Community Outreach","ONSLOW","I-MFP","MFP",7776,0
"G09-01500-1",7/2/09,1243,"New Beginnings Christian Cente","ONSLOW","I-MFP","MFP",10282,0
"R09-05141-1",7/2/09,"OT002","Inter-Faith Food Shuttle","WAKE","I-OTH",1307,32328,0
"R09-05144-1",7/3/09,"AF001","SECOND HARVEST SOUTHEAST NC",,"I-FBO","CTD",9937,0
"S09-01462-1",7/6/09,161,"Bethesda, Inc.","MOORE","I-SHP","PKUP",86,15.48
"R09-04250-1",7/6/09,1661,"SFSP - NAIMAH","GRANVILLE","I-SHP","PKUP",100,0
"S09-01465-1",7/6/09,1518,"First Missionary Baptist","MOORE","I-PKUP","PKUP",150,0
"R09-04241-1",7/6/09,1506,"Basic Needs Ministry","JOHNSTON","I-SHP","PKUP",163,7.2
"D09-02206-1",7/6/09,1497,"Bethlehem Temple Apostolic--","DURHAM","I-SHP","PKUP",170,30.6
"D09-02201-1",7/6/09,1256,"Walltown Children's Theatre","DURHAM","I-SHP","PKUP",179,17.82
"R09-04234-1",7/6/09,1262,"A Touch From Above Faith","JOHNSTON","I-SHP","PKUP",254,4.54
"W09-01008-1",7/6/09,"WL211","Cape Fear Presbyterian Church","NEWHANOVER","I-SHP","PKUP",266,70.24
"R09-04238-1",7/6/09,740,"Haven House-Second Round Youth","WAKE","I-SHP","PKUP",290,49.88
"S09-01466-1",7/6/09,350,"Church of God of Prophecy/","LEE","I-PKUP","PKUP",330,43.02
"S09-01464-1",7/6/09,181,"Pinebluff United Methodist Men","MOORE","I-PKUP","PKUP",363,64.62
"R09-04249-1",7/6/09,1660,"SFSP - Homework Haven","WAKE","I-SHP","PKUP",370,262.5
"R09-04239-1",7/6/09,1653,"Kraft Family YMCA","WAKE","I-SHP","PKUP",404,21.04
"D09-02202-1",7/6/09,820,"Durham Rescue Mission's","DURHAM","I-SHP","PKUP",453,40.68
"R09-04235-1",7/6/09,996,"Capital Pentacostal Church","WAKE","I-SHP","PKUP",465,67.84
"W09-01009-1",7/6/09,"WL335","Myrtle Grove SDA Church","NEWHANOVER","I-SHP","PKUP",494,72.92
"R09-04227-1",7/6/09,672,"Mount Peace Baptist Church","WAKE","I-SHP","PKUP",495,81
"R09-04232-1",7/6/09,515,"N.C. Family Training/","WAKE","I-SHP","PKUP",500,81.16
"S09-01463-1",7/6/09,956,"Aberdeen Community Club, Inc.","MOORE","I-SHP","PKUP",500,25.18
"R09-04240-1",7/6/09,1506,"Basic Needs Ministry","JOHNSTON","I-SHP","PKUP",555,63.36
"R09-04226-1",7/6/09,1387,"Family Circle Elder Care","WAKE","I-SHP","PKUP",641,91.8
"R09-04231-1",7/6/09,1600,"The Word Became Flesh","WILSON","I-SHP","PKUP",681,42.28
"D09-02203-1",7/6/09,1307,"Young Memorial United Holy","VANCE","I-SHP","PKUP",776,97.88
"D09-02204-1",7/6/09,1620,"Just a Clean House","DURHAM","I-SHP","PKUP",905,27.38
"R09-04225-1",7/6/09,775,"Bread of Life","WAKE","I-SHP","PKUP",963,82.08
"R09-04237-1",7/6/09,1506,"Basic Needs Ministry","JOHNSTON","I-TEFR","PKUP",1082,0
"W09-01007-1",7/6/09,"WL332","Southport Oak Island Interchur","BRUNSWICK","I-SHP","PKUP",1113,156.58
"R09-04236-1",7/6/09,10,"Care and Share, Inc.","FRANKLIN","I-SHP","PKUP",1177,125.02
"R09-04229-1",7/6/09,1590,"W.E.B. Dubois CDC","WAKE","I-SHP","PKUP",1275,124.2
"R09-04233-1",7/6/09,1467,"Christians United Outreach","LEE","I-SHP","PKUP",1276,113.99
"G09-01513-1",7/6/09,789,"Koinonia Christian Center","PITT","I-TEFB","PKUP",1637,0
"R09-04228-1",7/6/09,1339,"Franklin County Volunteers in","FRANKLIN","I-SHP","PKUP",1713,128.62
"G09-01511-1",7/6/09,1347,"Hope of Glory Ministries, Inc.","PITT","I-TEFB","PKUP",1879,0
"G09-01510-1",7/6/09,1569,"St. Peter the Fisherman","PAMLICO","I-TEFB","PKUP",2000,0
"G09-01512-1",7/6/09,1243,"New Beginnings Christian Cente","ONSLOW","I-TEFB","PKUP",3651,0
"R09-04230-1",7/6/09,542,"Capital City Christian Church","WAKE","I-SHP","PKUP",4883,191.4
"G09-01509-1",7/6/09,613,"First Born Comm. Dev. Ctr.","PITT","I-TEFB","PKUP",8152,0
"R09-05142-1",7/6/09,"OT002","Inter-Faith Food Shuttle","WAKE","I-OTH",1307,10800,0
"R09-04979-1",7/7/09,309,"Wallace Church of God","DUPLIN","I-TEFR","FBNC",63,0
"S09-01467-1",7/7/09,625,"Bethesda Presbyterian Church","MOORE","I-SHP","PKUP",76,9.18
"S09-01471-1",7/7/09,520,"Port Human Services","MOORE","I-SHP","PKUP",104,0
"W09-01040-1",7/7/09,"WL268","Believers Bible Fellowship","PENDER","I-SHP","PKUP",105,0
"G09-01537-1",7/7/09,908,"Abundant Life Miracle Center","CRAVEN","I-SHP","PKUP",139,0.9
"D09-02220-1",7/7/09,1601,"On Fire for God","DURHAM","I-SHP","PKUP",148,0
"R09-04255-1",7/7/09,1614,"Louisburg Group Home","FRANKLIN","I-DLS","FBNC",188,9
"D09-02216-1",7/7/09,1457,"North Carolina Central Univ.","DURHAM","I-SHP","PKUP",208,28.32
"D09-02217-1",7/7/09,684,"Housing for New Hope/","DURHAM","I-SHP","PKUP",216,23.36
"D09-02213-1",7/7/09,1027,"Addiction Recovery Center","VANCE","I-SHP","PKUP",232,38.58
"R09-04252-1",7/7/09,294,"Franklin County Group Home","FRANKLIN","I-DLS","FBNC",235,22.5
"R09-04257-1",7/7/09,935,"William Hawkins Yth Ministries","VANCE","I-DLS","FBNC",249,19.5
"R09-04161-1",7/7/09,1050,"Brookston Baptist Church","VANCE","I-DLS","FBNC",249,19.98
"D09-02222-1",7/7/09,34,"Durham Exchange Club","DURHAM","I-SHP","PKUP",251,36.28
"G09-01529-1",7/7/09,1605,"Twilight Missionary Baptist","HALIFAX","I-SHP","PKUP",257,33.3
"W09-01016-1",7/7/09,"WL268","Believers Bible Fellowship","PENDER","I-SHP","PKUP",278,45.72
"R09-04277-1",7/7/09,93,"New Life Camp","WAKE","I-SHP","PKUP",284,20.7
"D09-02212-1",7/7/09,1594,"Youth Quest, Inc.","DURHAM","I-SHP","PKUP",291,45.36
"R09-04299-1",7/7/09,1572,"Rocky Mount Church of the","NASH","I-SHP","PKUP",297,54.15
"R09-04256-1",7/7/09,292,"Warren County Group Home","WARREN","I-DLS","FBNC",305,29.58
"R09-04253-1",7/7/09,289,"Vance-Adult Group Home","VANCE","I-DLS","FBNC",320,32.76
"R09-04254-1",7/7/09,295,"Oxford Group Home","GRANVILLE","I-DLS","FBNC",320,32.76
"G09-01530-1",7/7/09,1347,"Hope of Glory Ministries, Inc.","PITT","I-SHP","PKUP",324,58.32
"R09-04162-1",7/7/09,507,"Big Ruin Creek Baptist","VANCE","I-DLS","FBNC",332,33.96
"G09-01534-1",7/7/09,1654,"Abundant Life Christian Center","ONSLOW","I-SHP","PKUP",334,45.87
"R09-04279-1",7/7/09,1522,"Bethel African Methodist","JOHNSTON","I-SHP","PKUP",335,52.02
"R09-04251-1",7/7/09,288,"Graham Ave. Group Home","VANCE","I-DLS","FBNC",337,35.82
"R09-04163-1",7/7/09,108,"Salvation Army-Henderson","VANCE","I-DLS","FBNC",345,51.42
"R09-04293-1",7/7/09,1029,"Dillard Academy","WAYNE","I-DLS","FBNC",348,45.88
"G09-01531-1",7/7/09,1273,"Pilgrim Way of the Cross","HALIFAX","I-SHP","PKUP",351,59.74
"R09-04136-1",7/7/09,765,"Mt. Zion Christian Church/","VANCE","I-DLS","FBNC",355,38.1
"S09-01468-1",7/7/09,168,"St. Anthony's Cath Church","MOORE","I-SHP","PKUP",356,32.76
"R09-04143-1",7/7/09,165,"Shiloh Baptist Church","VANCE","I-DLS","FBNC",390,78.69
"R09-04248-1",7/7/09,1357,"Peoples Christian Assembly","VANCE","I-DLS","FBNC",399,46.02
"R09-04294-1",7/7/09,1200,"Raleigh Vineyard Christian","WAKE","I-SHP","PKUP",414,56.12
"D09-02208-1",7/7/09,934,"Urban Ministries of Durham","DURHAM","I-SHP","PKUP",426,66.42
"D09-02214-1",7/7/09,95,"Person County Group Homes","PERSON","I-SHP","PKUP",440,47.78
"R09-04247-1",7/7/09,309,"Wallace Church of God","DUPLIN","I-DLS","FBNC",455,69.14
"W09-01019-1",7/7/09,"WL361","The Rock of Wilmington","NEWHANOVER","I-SHP","PKUP",459,45.62
"R09-04245-1",7/7/09,108,"Salvation Army-Henderson","VANCE","I-TEFR","FBNC",468,0
"D09-02209-1",7/7/09,1556,"Spirit of Life Kings Kids","VANCE","I-SHP","PKUP",475,72.88
"D09-02207-1",7/7/09,1430,"Henderson Towers Resident","DURHAM","I-SHP","PKUP",482,59.76
"S09-01470-1",7/7/09,1235,"Greater diggs","RICHMOND","I-SHP","PKUP",494,45.72
"G09-01526-1",7/7/09,155,"Philippi Church of Christ","PITT","I-SHP","PKUP",516,21.82
"R09-04278-1",7/7/09,539,"Elmore Blackley Fellowship","HARNETT","I-SHP","PKUP",538,90.72
"W09-01018-1",7/7/09,"WL208","New Covenant Holiness Church","NEWHANOVER","I-SHP","PKUP",548,82.27
"G09-01525-1",7/7/09,1408,"Word of God Christian Center","CRAVEN","I-SHP","PKUP",589,88.74
"S09-01472-1",7/7/09,595,"Pentecostal Assembly","MOORE","I-SHP","PKUP",616,24.66
"R09-04274-1",7/7/09,1413,"Mary E. Wilson Foundation","WAKE","I-SHP","PKUP",630,93.16
"R09-04275-1",7/7/09,1662,"SFSP - Garner Road YMCA","WAKE","I-SHP","PKUP",633,1105.2
"W09-01017-1",7/7/09,"WL281","South Brunswick Inter-Church","BRUNSWICK","I-SHP","PKUP",643,171.86
"D09-02211-1",7/7/09,1580,"Christian Help Center","PERSON","I-SHP","PKUP",667,183.42
"D09-02219-1",7/7/09,1079,"Steps and Ladders","DURHAM","I-SHP","PKUP",703,90.56
"D09-02210-1",7/7/09,1098,"Seed Time&Harvest Fellowship","DURHAM","I-SHP","PKUP",710,107.6
"S09-01474-1",7/7/09,1537,"Spring Hill Baptist","SCOTLAND","I-SHP","PKUP",750,0
